task_id,algorithm,fold,classif.auc,classif.ce
MNIST_EMNIST,nearest_neighbors,6,,0.0462175869704979
MNIST_EMNIST,nearest_neighbors,7,,0.0467209601371625
MNIST_EMNIST,nearest_neighbors,8,,0.0459384153747232
MNIST_EMNIST,nearest_neighbors,9,,0.045298656759074
MNIST_EMNIST,nearest_neighbors,10,,0.0435124321234639
MNIST_EMNIST_rot,nearest_neighbors,1,,0.0402713316672617
MNIST_EMNIST_rot,nearest_neighbors,2,,0.0419880034275921
MNIST_EMNIST_rot,nearest_neighbors,3,,0.0412739217366467
MNIST_EMNIST_rot,nearest_neighbors,4,,0.0400685665309621
MNIST_EMNIST_rot,nearest_neighbors,5,,0.0415
MNIST_EMNIST_rot,nearest_neighbors,6,,0.0417172655189656
MNIST_EMNIST_rot,nearest_neighbors,7,,0.040791541648807
MNIST_EMNIST_rot,nearest_neighbors,8,,0.0415088947631635
MNIST_EMNIST_rot,nearest_neighbors,9,,0.0410117176336096
MNIST_EMNIST_rot,nearest_neighbors,10,,0.0417976564732781
MNIST_FashionMNIST,nearest_neighbors,1,,0.0768297036772581
MNIST_FashionMNIST,nearest_neighbors,2,,0.0791916595258498
MNIST_FashionMNIST,nearest_neighbors,3,,0.0803341902313625
MNIST_FashionMNIST,nearest_neighbors,4,,0.079637168773659
MNIST_FashionMNIST,nearest_neighbors,5,,0.0796428571428571
MNIST_FashionMNIST,nearest_neighbors,6,,0.0815058218444175
MNIST_FashionMNIST,nearest_neighbors,7,,0.076939562794685
MNIST_FashionMNIST,nearest_neighbors,8,,0.0786597127955991
MNIST_FashionMNIST,nearest_neighbors,9,,0.0794512717919406
MNIST_FashionMNIST,nearest_neighbors,10,,0.0809517004858531
NSCH_autism,nearest_neighbors,1,0.829778491977964,0.0312839452530958
NSCH_autism,nearest_neighbors,2,0.797738795327831,0.0271621034332899
NSCH_autism,nearest_neighbors,3,0.801026548447458,0.0295523685354194
NSCH_autism,nearest_neighbors,4,0.773876353137755,0.0278139939156888
NSCH_autism,nearest_neighbors,5,0.813211743701521,0.0284658843980878
NSCH_autism,nearest_neighbors,6,0.769711017947507,0.0286831812255541
NSCH_autism,nearest_neighbors,7,0.762030749519538,0.0276086956521739
NSCH_autism,nearest_neighbors,8,0.782945930251313,0.0300065231572081
NSCH_autism,nearest_neighbors,9,0.772363454527857,0.0289193302891933
NSCH_autism,nearest_neighbors,10,0.82939397361035,0.0265275059795608
QMNIST,nearest_neighbors,1,,0.0407126800432937
QMNIST,nearest_neighbors,2,,0.0438114276195236
QMNIST,nearest_neighbors,3,,0.0434891277180705
QMNIST,nearest_neighbors,4,,0.0429928345275787
QMNIST,nearest_neighbors,5,,0.0415
QMNIST,nearest_neighbors,6,,0.0429238206367728
QMNIST,nearest_neighbors,7,,0.0404267733600067
QMNIST,nearest_neighbors,8,,0.0426808936312104
QMNIST,nearest_neighbors,9,,0.0414373853593463
QMNIST,nearest_neighbors,10,,0.043191861919453
spam,nearest_neighbors,1,0.966395211930926,0.0909090909090909
spam,nearest_neighbors,2,0.954842648391035,0.0889370932754881
spam,nearest_neighbors,3,0.978730946472882,0.06941431670282
spam,nearest_neighbors,4,0.954694946630431,0.108459869848156
spam,nearest_neighbors,5,0.96859860569538,0.0802603036876356
spam,nearest_neighbors,6,0.964850789124537,0.0804347826086957
spam,nearest_neighbors,7,0.974227212420048,0.0804347826086957
spam,nearest_neighbors,8,0.977065861123256,0.0718954248366013
spam,nearest_neighbors,9,0.975649480415668,0.0764192139737991
spam,nearest_neighbors,10,0.961990407673861,0.0633187772925764
vowel,nearest_neighbors,1,,0
vowel,nearest_neighbors,2,,0.00909090909090909
vowel,nearest_neighbors,3,,0
vowel,nearest_neighbors,4,,0.0101010101010101
vowel,nearest_neighbors,5,,0.0101010101010101
vowel,nearest_neighbors,6,,0.0202020202020202
vowel,nearest_neighbors,7,,0.0101010101010101
vowel,nearest_neighbors,8,,0
vowel,nearest_neighbors,9,,0.0227272727272727
vowel,nearest_neighbors,10,,0.0113636363636364
waveform,nearest_neighbors,1,,0.132530120481928
waveform,nearest_neighbors,2,,0.156626506024096
waveform,nearest_neighbors,3,,0.195121951219512
waveform,nearest_neighbors,4,,0.209876543209877
waveform,nearest_neighbors,5,,0.1625
